iter	AUC	Logloss
697	0.8841207623	0.3676504982
698	0.88416785	0.3675567384
699	0.8842249513	0.36749501
700	0.8842368126	0.3674785783
701	0.8843083382	0.3674072589
702	0.8843483925	0.3673508459
703	0.884444952	0.3672373727
704	0.8844698071	0.367211743
705	0.884500742	0.3671750434
706	0.8845269084	0.3671384824
707	0.8845826983	0.3670668163
708	0.8846366405	0.3669848429
709	0.8846697807	0.3669454393
710	0.884700954	0.3669069139
711	0.8847051859	0.3668776097
712	0.884713769	0.3668517951
713	0.8848051429	0.366752327
714	0.8848855495	0.3666389462
715	0.8849387765	0.3665731272
716	0.8849573135	0.366546134
717	0.8849982619	0.3664990808
718	0.8850057125	0.366476571
719	0.8850319982	0.366439178
720	0.8850840926	0.366368552
721	0.8851020932	0.366350803
722	0.8851111531	0.3663265599
723	0.8851804733	0.3662662643
724	0.8852190375	0.3662175702
725	0.885234952	0.3661963085
726	0.8852870464	0.3661346262
727	0.8852893114	0.3661294957
728	0.8852976561	0.366113688
729	0.8852923512	0.3661001683
730	0.8853247166	0.3660575754
731	0.8854034543	0.3659859325
732	0.8854565024	0.3659048373
733	0.8854740858	0.365883668
734	0.8855074644	0.3658421844
735	0.8855308294	0.3658232568
736	0.8855473399	0.3657981124
737	0.8855725527	0.3657743085
738	0.885676682	0.3656800865
739	0.885715425	0.3656205304
740	0.8858084679	0.3655177575
741	0.885821104	0.3655046537
742	0.8858320117	0.365453533
743	0.8858883977	0.3653874367
744	0.8859363794	0.3653586408
745	0.8859799504	0.3653123502
746	0.8859877586	0.3652922902
747	0.8860201836	0.3652531177
748	0.8860223889	0.3652393438
749	0.8860592842	0.3652115879
750	0.8860993385	0.3651634254
751	0.886095047	0.3651619001
752	0.8861095309	0.3651386508
753	0.8861651421	0.3650771072
754	0.8861864209	0.3650516393
755	0.8861910701	0.3650410777
756	0.8862349093	0.3649675629
757	0.886246413	0.3649439438
758	0.8862462342	0.3649393679
759	0.8863525391	0.3648279516
760	0.8863543868	0.3648219659
761	0.8863588572	0.3648167198
762	0.8863844275	0.3647816379
763	0.8864468932	0.3646967295
764	0.8864750266	0.3646475963
765	0.8864748478	0.3646360179
766	0.8864952326	0.3646072682
767	0.886490643	0.3645853131
768	0.886541605	0.3645364111
